created_at,description,favorites,followers,friends,id,location,name,party,screen_name,statuses
Mon Jan 05 22:39:56 +0000 2015,"The press office account of U.S. Sen. Sasse. 

His (less political/hopefully more interesting) personal account is at @BenSasse.",0.0,1454.0,1.0,2962923040.0,,Senator Ben Sasse,gop,SenSasse,18.0
Thu Jan 01 20:23:49 +0000 2015,U.S. Senator for South Dakota,4.0,1200.0,156.0,2955485182.0,"Pierre, South Dakota",Senator Mike Rounds,gop,SenatorRounds,60.0
Wed Nov 05 21:25:42 +0000 2014,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,0.0,640.0,135.0,2891210047.0,,SenDanSullivan,gop,SenDanSullivan,72.0
Wed Nov 05 20:58:02 +0000 2014,Official Twitter account for U.S. Senator David Perdue of Georgia.,0.0,1501.0,476.0,2863210809.0,Georgia,David Perdue,gop,sendavidperdue,119.0
Sun Nov 02 13:32:54 +0000 2014,Official Account of Senator Joni Ernst from Iowa.,0.0,4345.0,42.0,2856787757.0,Iowa ,Joni Ernst,gop,SenJoniErnst,45.0
Mon Mar 04 19:34:23 +0000 2013,"Senate Banking, Housing & Urban Affairs Republicans",2.0,819.0,110.0,1242040290.0,"Washington, D.C. ",Senate Banking GOP,gop,BankingGOP,155.0
Wed Jan 16 18:58:23 +0000 2013,United States Senator Jim Risch (R-ID),41.0,8030.0,43.0,1096059529.0,"Boise & Washington, D.C.",Senator Jim Risch,gop,SenatorRisch,339.0
Wed Jan 09 18:11:37 +0000 2013,Representing the State of Texas in the United States Senate.,154.0,401994.0,7697.0,1074480192.0,"Houston, Texas",Senator Ted Cruz,gop,SenTedCruz,3172.0
Tue Jan 08 16:49:07 +0000 2013,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,21.0,9507.0,132.0,1071402577.0,,Senator Deb Fischer,gop,SenatorFischer,1233.0
Wed Jan 02 16:27:00 +0000 2013,Senate Committee on Environment and Public Works - Majority,1.0,1204.0,445.0,1055515873.0,"Washington, DC",EPW Majority,gop,EPWRepublicans,924.0
Sat Nov 24 19:33:10 +0000 2012,U.S. Senator proudly serving the state of Arkansas.,0.0,10737.0,356.0,968650362.0,,Tom Cotton,gop,SenTomCotton,1834.0
Tue Jul 17 21:37:44 +0000 2012,News and information from the press office of Senate Finance Committee Chairman Orrin Hatch (R-Utah).,0.0,2824.0,424.0,701821488.0,"Washington, D.C.",GOP Senate Finance,gop,GOPSenFinance,862.0
Tue Jun 05 22:16:35 +0000 2012,United States Senator for the great state of Idaho.,4.0,10587.0,436.0,600463589.0,"Idaho & Washington, D.C.",Senator Mike Crapo,gop,MikeCrapo,4029.0
Mon Apr 16 22:33:23 +0000 2012,Office of U.S. Senator Thad Cochran of Mississippi.,0.0,13811.0,488.0,555474658.0,,Senator Thad Cochran,gop,SenThadCochran,1011.0
Fri Jan 27 21:58:09 +0000 2012,Provide Senate floor updates.,0.0,5746.0,443.0,476209692.0,,Floor Monitor,gop,SenGOP_Floor,3606.0
Thu Oct 06 17:11:49 +0000 2011,"This is the official Twitter for the Republican members of the U.S. Senate Commerce, Science and Transportation Committee.",1.0,1079.0,152.0,386092483.0,,CommerceGOP,gop,CommerceGOP,228.0
Fri Sep 30 17:55:30 +0000 2011,U.S. Senator from North Dakota,5.0,10739.0,410.0,382791093.0,North Dakota,Senator John Hoeven,gop,SenJohnHoeven,858.0
Thu Jul 21 18:25:30 +0000 2011,The Kentucky press office for Senator Mitch McConnell. For more information please visit his website:,4.0,48185.0,266.0,339822881.0,,Sen. McConnell Press,gop,McConnellPress,6097.0
Tue May 10 16:41:48 +0000 2011,"U.S. Senator John Thune, South Dakota. Chairman of @Senate_GOPs & @CommerceGOP. Father. Husband. Avid Outdoorsman. Sports Fan.",0.0,32140.0,306.0,296361085.0,,Senator John Thune,gop,SenJohnThune,1971.0
Fri May 06 15:35:48 +0000 2011,News releases and statements from U.S. Sen. Chuck Grassley’s office. Follow Sen. Grassley’s tweets @ChuckGrassley or at http://t.co/bkpZkTOOSt.,0.0,6202.0,4684.0,294126378.0,,Sen. Grassley's Ofc.,gop,GrassleyOffice,2484.0
Wed May 04 15:02:57 +0000 2011,"News and Updates on the Senate Health, Education, Labor and Pensions (HELP) Committee from the press office of Ranking Member Lamar Alexander",1.0,2056.0,191.0,292972175.0,United States Senate,HELP Committee GOP,gop,GOPHELP,958.0
Mon May 02 15:26:39 +0000 2011,Mike Enzi is Wyoming’s 20th U.S. Senator. His joy of representing Wyoming is topped by few things. (Being a grandfather and fly-fishing are two).,0.0,10925.0,514.0,291756142.0,,Mike Enzi,gop,SenatorEnzi,1498.0
Fri Apr 01 15:10:03 +0000 2011,Official source for news from the Republicans on the Senate Armed Services Committee.,0.0,4499.0,89.0,275572403.0,"Washington, D.C.",SASC Majority,gop,SASCMajority,338.0
Mon Mar 14 18:31:08 +0000 2011,U.S. Senator Dean Heller,0.0,14929.0,4934.0,266133081.0,Nevada,Dean Heller,gop,SenDeanHeller,2752.0
Fri Mar 11 14:59:01 +0000 2011,U.S. Senator for the State of Mississippi. Please visit my website for updates from the Senate.,18.0,15029.0,282.0,264219447.0,"Mississippi & Washington, DC",Senator Roger Wicker,gop,SenatorWicker,1734.0
Tue Mar 08 18:04:18 +0000 2011,U.S. Senator from Utah. Tweets are by Sen. Hatch's staff; those signed ogh are from Sen. Hatch himself.,1.0,12240.0,151.0,262756641.0,,Senator Hatch Office,gop,SenOrrinHatch,2355.0
Thu Jan 20 19:09:24 +0000 2011,Latest news from Senator Rob Portman's Communications Office,0.0,1878.0,4.0,240790556.0,,Portman Press Office,gop,PortmanPress,778.0
Fri Jan 14 15:06:32 +0000 2011,Official Sen. Blunt Press Office,0.0,900.0,91.0,238177562.0,,SenBlunt PressOffice,gop,RoyBluntPress,527.0
Fri Jan 07 17:02:56 +0000 2011,Proudly serving the state of Colorado in the United States Senate.  This is my official Senate Twitter account. Tweets from Cory are signed -cg.,6.0,9425.0,646.0,235217558.0,Colorado,Cory Gardner ,gop,SenCoryGardner,1767.0
Tue Jan 04 00:25:27 +0000 2011,Tweets from Ron are signed -rj,3.0,26244.0,106.0,233737858.0,"Oshkosh, WI",Senator Ron Johnson,gop,SenRonJohnson,1338.0
Thu Dec 23 21:22:47 +0000 2010,The press office for Senator @MarcoRubio. For more information please visit his website: http://t.co/9eM6UaRgYS,1.0,16990.0,96.0,229966028.0,"Washington, D.C.",Senator Rubio Press,gop,SenRubioPress,1849.0
Wed Dec 22 20:20:15 +0000 2010,,14.0,35717.0,1493.0,229592356.0,,Kelly Ayotte,gop,KellyAyotte,5648.0
Sun Dec 12 20:33:07 +0000 2010,Serving the State of Oklahoma in the United States Senate,1.0,12170.0,485.0,225921757.0,"Oklahoma and Washington, DC",Sen. James Lankford,gop,SenatorLankford,2419.0
Mon Nov 29 22:32:09 +0000 2010,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.,55.0,32979.0,876.0,221162525.0,,Senator Pat Toomey,gop,SenToomey,2765.0
Fri Nov 19 20:34:30 +0000 2010,Official account of U.S. Senator Tim Scott. Honored to represent the great state of South Carolina. RTs and follows dont equal endorsements. #OpportunityAgenda,231.0,82575.0,2794.0,217543151.0,South Carolina,Tim Scott,gop,SenatorTimScott,2716.0
Fri Nov 05 15:56:49 +0000 2010,U.S. Senator serving Indiana,6.0,19318.0,619.0,212262370.0,,Senator Dan Coats,gop,SenDanCoats,2979.0
Wed Nov 03 17:51:13 +0000 2010,I serve the people of the state of Illinois in the United States Senate. Please do not hesitate to contact me if you have any questions or need assistance.,0.0,32439.0,1852.0,211588974.0,"Highland Park, Illinois",Mark Kirk,gop,SenatorKirk,3845.0
Wed Oct 13 14:49:08 +0000 2010,U.S. Senator for the great state of Wyoming and @Senate_RPC Chairman.,0.0,18551.0,456.0,202206694.0,,Sen. John Barrasso,gop,SenJohnBarrasso,2288.0
Wed Sep 22 18:06:14 +0000 2010,Proudly serving West Virginia in the United States Senate.,28.0,11442.0,935.0,193794406.0,,Shelley Moore Capito,gop,SenCapito,1375.0
Tue Feb 16 23:42:01 +0000 2010,"The Senate Republican Policy Committee, chaired by @SenJohnBarrasso, helps shape policy and provides legislative analysis.",0.0,3788.0,755.0,114896223.0,"Washington, DC",Senate RPC,gop,Senate_RPC,3738.0
Mon Nov 09 22:47:47 +0000 2009,I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!,12.0,162137.0,2364.0,88784440.0,Utah,Mike Lee,gop,SenMikeLee,3124.0
Thu Oct 15 16:44:57 +0000 2009,Welcome to our Twitter page! Please follow us for updates & news from the Senate Energy and Natural Resources Committee Majority.,2.0,5365.0,276.0,82657929.0,"Washington, DC",Senate Energy GOP,gop,ENR_GOP,2123.0
Tue Sep 29 20:09:30 +0000 2009,"Official Page of U.S. Senator Johnny Isakson (R-Ga.)

      (Committees: Finance, HELP, Veterans' Affairs and Vice Chairman of Ethics)",72.0,18459.0,429.0,78403308.0,GA & DC,Johnny Isakson,gop,SenatorIsakson,1000.0
Wed Sep 23 13:58:50 +0000 2009,"Follow Sen. Alexander in TN, in DC, and in the news.",1.0,26299.0,409.0,76649729.0,,Sen. Lamar Alexander,gop,SenAlexander,1450.0
Fri Sep 18 19:34:56 +0000 2009,United States Senator from Kansas,15.0,15251.0,698.0,75364211.0,"Kansas and Washington, DC",Pat Roberts,gop,SenPatRoberts,1307.0
Fri Sep 11 03:56:08 +0000 2009,Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff. Tweets from the senator are signed -BC.,1.0,35665.0,447.0,73303753.0,Tennessee,Senator Bob Corker,gop,SenBobCorker,2044.0
Wed Jun 17 14:24:08 +0000 2009,U.S. Sen. Jeff Sessions (R-AL) serves as the Ranking Member on the Senate Budget Committee. He is in his 3rd term in the Senate.,0.0,37393.0,102.0,47975734.0,"Mobile, AL",Sen. Jeff Sessions,gop,SenatorSessions,1643.0
Thu Feb 19 02:58:03 +0000 2009,Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.,11.0,34194.0,6804.0,21269970.0,Missouri,Senator Roy Blunt,gop,RoyBlunt,4720.0
Wed Feb 18 01:53:03 +0000 2009,U.S. Senator from North Carolina,3.0,30150.0,3361.0,21157904.0,"Winston-Salem, NC",Richard Burr,gop,SenatorBurr,1605.0
Tue Feb 10 21:12:51 +0000 2009,Press Office of U.S. Senator Jim Inhofe (R-Okla.),11.0,10863.0,1370.0,20546536.0,"Washington, D.C.",Inhofe Press Office,gop,InhofePress,5323.0
Thu Jan 29 18:56:59 +0000 2009,"United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",33.0,34257.0,929.0,19726613.0,Maine,SenatorSusanCollins,gop,SenatorCollins,1358.0
Fri Jan 23 13:42:31 +0000 2009,"U.S. Senator John McCain (R-AZ), Chairman of Senate Armed Services Committee",2.0,1944286.0,335.0,19394188.0,"Phoenix, AZ / Washington, DC",John McCain,gop,SenJohnMcCain,8073.0
Mon Jan 12 20:56:42 +0000 2009,United States Senator from the Buckeye State.,4.0,43206.0,1616.0,18915145.0,Ohio,Rob Portman,gop,senrobportman,4027.0
Mon Jan 05 14:25:22 +0000 2009,Proud to represent Kansas in the United States Senate,153.0,17862.0,2980.0,18632666.0,Kansas,Jerry Moran,gop,JerryMoran,2928.0
Thu Dec 11 21:55:19 +0000 2008,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,0.0,28391.0,460.0,18061669.0,"Alaska & Washington, D.C.",Sen. Lisa Murkowski,gop,lisamurkowski,2536.0
